amethystarlight	The positivity calculations that the State of Iowa provides is wrong. It’s always been wrong. https://t.co/MO0XzPZ32t
RobAdam74497148	@ThePoliticalIn6 @david1www002w @jogginsboy @DaveNestor22 @sunlorrie it's possible but highly unlikely; I think in reality they are just rebranding flu to covid; interestingly in Canada, flu is down 97.5%; in NZ, 99.8%. Something is amiss.
SabinaWalker18	@BallouxFrancois 1/x I agree @BallouxFrancois  _newline Let’s start by  _newline ENDING ALL #LOCKDOWNS NOW! _newline  _newline Follow Prof @michaelmina_lab for #frequent_use, #rapid #antigentests with HIGH SPECIFICITY _newline  _newline PCR Tests USED TO BE considered Gold Standard when we had NOTHING ELSE! _newline  _newline Now we have: _newline 👇 _newline https://t.co/G92sWbMBKr
RobAdam74497148	@Puddy2763 Right? The hits just keep coming. I'll be tweeting this again, but here's a must read...: https://t.co/rYJRDQMBhD
TheraseWeeks	@ruperthewison @MelbPamelaJ @DanielBleakley Wearing a mask, keeping social distance and frequent handwashing are really important interventions, but are NOT enough to keep covid under control if there is any covid at all in the community. That is where almost every European country went wrong. You can't exist with covid.
TheraseWeeks	@ruperthewison @MelbPamelaJ @DanielBleakley Business over medical advice. That old chess nut! When will people realise that business success can't exist without first controlling covid?
RobAdam74497148	@JDFlannery I hope you are right but... https://t.co/fXros4UcdF
RobAdam74497148	@GregoryGHarding @PeterCBC I'm so bitter these days. This is what 3 months of martial law type lockdown does to ya.
pjakma	This was inevitable, because the policy is simply unsustainable, because humans have very deep needs to socialise. _newline  _newline The problem is the policy, not the humans. https://t.co/y1osKBpkG4
RhysParton	Abolish the anthem entirely. _newline  _newline Also, don't ask questions about that during a health crisis. _newline  _newline #COVID19 #COVID19nsw #COVID19Vic #NSWPresser #GladysPresser
RhysParton	She's repeated it twice since I wrote this. _newline  _newline She's going to ignore the hardwork of every other state and territory and allow NSW to let the nation down because of that factually incorrect, Trump-like, conservative value. _newline  _newline No thank you. _newline  _newline #COVID19 #COVID19nsw #COVID19Aus https://t.co/OTDUXxa108
pjakma	@deebeepee @TheFabledAesop @Adcramps Do you have quarantine at the borders? _newline  _newline It is summer where you are. Covid19 appears to be seasonal. Europe had low covid19 over the summer here, while AU had outbreaks. Be interesting to see what happens there when you get to your autumn.
RhysParton	Shout out to the north part of the Northern Beaches. _newline  _newline Good job on the number of people getting tested recently! _newline  _newline #COVID19 #COVID19nsw #COVID19aus
amethystarlight	Ah, a superspreader event in Ankeny. Polk person- and test-positivities are going to increase. https://t.co/P16l5C4TTB
sassybibrarian	@yashar 100% will. I trust the science. I have a more significant chance of doing badly with covid than having a severe reaction to a vaccine
kevinpurcell	“persons exposed to COVID-19 in the household who were asymptomatic and had negative laboratory test results through 7 days after symptom onset in the index patient, 19% experienced symptoms or received positive test results in the following week” https://t.co/TtscQALb4j
kevinpurcell	“A shorter quarantine after household exposure to COVID-19 might be easier to adhere to but poses some risk for onward transmission. Persons released from quarantine before 14 days should continue to avoid close contact and wear masks when around others [for] 14 days.”
pjakma	Happy new year. _newline  _newline Here's to 2021 kicking covid in the nuts!
TheraseWeeks	@FoxyHardy @CloudButt3rfly @ColetteGarnaut @DanielBleakley It will help *should* there be an outbreak, and we hope there won't be. Unfortunately there are no guarantees. Recently two people absconded HQ, one for 9 hours who went to a beach and met two people and went to a hospital, the other danced at a night club for five hours.
TheraseWeeks	"@ruperthewison @MelbPamelaJ @DanielBleakley I am very sorry for what is happening in Ireland. With your recent lockdown and jumping from level 3 to level 5, (which is sort of like Melbourne's stage 4) I was hopeful that Ireland would ""do a Victoria"". It was heart breaking to see it all thrown away just before Christmas."
raincoaster	“An rt isn’t FATAL!” Which is shorthand for “would a retweet of the #Covid19 #BriefingBingo kill ya?” https://t.co/Nh5Ev7j26p
RhysParton	I have no more patience for their obviously partisan motivated nonsense. Their job is to tell us the news, not to bad mouth people that their boss doesn’t like. _newline  _newline #MurdochRoyalCommission #CancelFairfax #COVID19 #COVID19Vic #COVID19nsw #COVID19aus #SayNoToRealEstateAU https://t.co/ZeaCiYwCps
raincoaster	Best news all year next to every time Donald Trump list. https://t.co/RjdSkQvxOJ
RobAdam74497148	"@DaveNestor22 @ThePoliticalIn6 @david1www002w @jogginsboy @sunlorrie This is true; the fatality numbers are fudged. The CDC just this week quietly adjusted their death count; that is to say, only 9k people passed ""From"" covid only, with no comorbidities. And I even question that. https://t.co/2DOGG1n1kQ"
RobAdam74497148	@UssuriC @joe_warmington @DavidMilley22 I couldn't agree more. Hey - check out this chilling vx article: https://t.co/rYJRDQMBhD
localnotail	A reminder for #NewYearsEve https://t.co/u4pm0NIEZ1
localnotail	@AlexWhitcomb @james_bb A reminder from 1918 _newline https://t.co/2UyJVqS14M
pjakma	@kiwigirl2897 @TheRealZeRoY @Blue_Poes @rtenews @CMOIreland 5 week lockdown. I'm so jealous. We're in month 9 or so of measures stricter than your l2.
TheraseWeeks	@ruperthewison @MelbPamelaJ @DanielBleakley So was it 3 weeks in the end? And Boris reduced the easing to just Christmas Day. And Varadkar ADMITTED that it would likely result in a further lockdown in January! 3/4
TheraseWeeks	@ruperthewison @MelbPamelaJ @DanielBleakley Ironically an effective lockdown is good for business in the long run. Opening with covid doesn't work because no one spends up big when covid is running rampant. The problem is they have never seen an effective lockdown in Western Europe to my knowledge. 4/4
SabinaWalker18	22.7.1 Quoting, _newline “15,144 patients who received the 1st dose of vaccine  _newline underwent a PCR test on the day of the vaccine and up to 9 days after it. _newline  _newline 428 of them were diagnosed with corona. _newline  _newline 12 were even hospitalized.״ _newline  _newline https://t.co/u9oVxLqtZO
__ice9	@monarchdiaries @Statins_Kill @RephreshedMind @Heybike1 @Mareeswj @drakchaurasia @drkrvcvijay @drprashant86jmd @humeirabadsha @DrJoyeeta @rsaroja70 @JPottel @Dereklowe @__philipn__ @abledoc @julienpotet Also important to remember the U.S. has no approved TMPRSS inhibitors with clinical data for COVID-19. _newline  _newline Alpha-1 antitrypsin might work if nebulized, the way the Russians did with aprotinin.
Sanityland	1 Bonnie Henry scapegoats restaurants. The problem isn't restaurants. The problem is Bonnie Henry's mismanagement of Covid spread. Albertans &amp; others can travel to &amp; vacation in BC but those in BC told to stay local. _newline  _newline #itmakesnosense  _newline  _newline @NEWS1130  _newline @LizaYuzda  _newline @CKNW  _newline @keithbaldrey
sassybibrarian	519 #COVID19 deaths in Yuma. That’s a lot. That’s a whole lot. Over 27,000 cases
Sanityland	2 When it was apparent to all that large gatherings, weddings etc. in Surrey over the summer caused Covid cases to rise no enforcement. Surrey should have been quarantined for 28 days or longer. Instead Bonnie let the virus spread province wide.
__ice9	@monarchdiaries @Statins_Kill @RephreshedMind @Heybike1 @Mareeswj @drakchaurasia @drkrvcvijay @drprashant86jmd @humeirabadsha @DrJoyeeta @rsaroja70 @JPottel @Dereklowe @__philipn__ @abledoc @julienpotet Well if you only care about TMPRSS2, and not 13/11/4, then.... _newline  _newline https://t.co/AvSgpFWDoe _newline  _newline Really, almost any anti-androgenic substance will do, for that one.
sassybibrarian	@WFKARS Unfortunately, people are astoundingly selfish and won’t learn until it hits them personally. My family has already lost my mom and 2 sons (before covid) and my cousin was killed in September. I just want to protect the ones I have left. So home it is.
KenMcCarthy	LA residents: Congratulations. Your government is getting you ready for permanent lockdown.  _newline https://t.co/ELJtcGEGwb
GCarty80	@BobQuarantine @RealSaavedra They do, along with anyone who comes in contact with them: _newline  _newline https://t.co/zu9qkWny0E
pjakma	@TheRealZeRoY @Blue_Poes @rtenews @CMOIreland Life in New Zealand and China went back to normal within months. They did not rely on wishy washy social distancing and closing some stuff. _newline  _newline They found every infected person and stuck them in a guarded hotel. No choice.
sassybibrarian	@WFKARS Thanks. All I can do is stay home. Thank YOU for caring for others.
pjakma	@TheRealZeRoY @Blue_Poes @rtenews @CMOIreland There's a tiny asterisk beside NZ, they are in summer, and we ook now covid is seasonal. Will be interesting to see what happens when they get to their autumn. But they're looking good. _newline  _newline China is on our seasons though. Freezing in North East, but no restrictions mostly.
sassybibrarian	I’ve had anxiety and depression for years but never has it been this bad. And I can’t get help at the ER because covid central. But at least now someone knows to reach out and help me
ChrisMGra	@BottomleyFiona lol. If you don't have the ONS, your entire edifice of support for your lockdown position disappears. Think again. 🥰
KenMcCarthy	"How many people realize that digital vaccination passports are essentially PERMANENT lockdown. New ""virus"" declared? You're locked down until you get your upgrade vaccine. Wash, rinse and repeat forever. I sincerely hope the people who've had heads up ass in '20, wake up in '21. https://t.co/xHd4tkn3v9"
kevinpurcell	“Distilleries that helped out in the beginning of the coronavirus pandemic by making alcohol-based hand sanitizer won't have to pay a hefty fee the government charged them this week by mistake.” https://t.co/0eT7mFOLYS
Sanityland	"@Junebug5Randall @jodyvance BC hit a low of 5 hospitalizations from #COVID19. Since then they have skyrocketed due to Bonnie's ""It's a balance"" erratic, illogical &amp; irrational approach."
TheraseWeeks	@SSirroco @VicGovDHHS The first tweet was about giving support. Does NSW have a payment for casual workers people who need to isolate while waiting for the results of a covid test?
sassybibrarian	You know what good thing happened this year? My aunt and uncle, whose son was killed this year, were able to get their covid vaccines. ❤️
Sanityland	@LeighStewy #COVID19 _newline  _newline China's big export of 2020. _newline  _newline Who knew what when? _newline  _newline #COVID19 _newline #WuhanVirus _newline #BiologicalTerrorism
Sanityland	Healthy airport? _newline  _newline With 28 #COVID19 flights landing? _newline  _newline #canpoli #onpoli #topoli https://t.co/KfRnBoIls0
kevinpurcell	Are we going to find this in someone newly arrived from the UK in the US? _newline  _newline This is the third (apparently) independent introduction. _newline  _newline I guess the chance of finding it natively versus a new arrival tells you something about the prevalence in the US. https://t.co/ER4McpzxNs
kevinpurcell	“It feels a lot like that time between Jan. 19 or so when we had that first case in the Seattle area and six weeks later, when all of a sudden, it looks like we’ve got community transmission in California and Seattle and who knows where else”  https://t.co/iHsj38YxRg
__ice9	Highly amusing slide from a talk by Peter Daszak in 2015, in which he comments that the single most risky research activity for viral spillover into humans is humanized mouse infection experiments: _newline  _newline https://t.co/AVfRTMW9IW _newline  _newline i.e. the same work he was boasting about in... Nov 2019. https://t.co/ScYsdzVWEj
TheraseWeeks	@SSirroco @VicGovDHHS I just looked it up. The penalty for ANY offence in NSW can be 6 months in prison. Victoria does not have any imprisonment for any covid related offence.
KenMcCarthy	"@ethicalpsycholo @JSCCounterPunch Just how fucking stupid are you people? Viruses mutate all the time, ""case"" means positive result on a dodgy test not an illness, viruses don't need planes to travel and coronaviruses are common as dirt. It's 2021. Learn some science and stop being a sap.  _newline https://t.co/s5qxiOAFDS"
KenMcCarthy	@TimothyS @JSCCounterPunch And yet you're totally oblivious to the medical technocratic virus coup. It's 2021. Time to wake up.  _newline https://t.co/s5qxiOAFDS
KenMcCarthy	The fraud on the part of the politicians is endless. Why? They - like the doctors who are enabling this BS - know it's a total fraud. https://t.co/3NSwxnNZU9
amethystarlight	https://t.co/Ha0cNMrj1w is now updated for 12/31/2020. _newline  _newline There are 294 public school districts, parochial schools, preschools, daycares, and bus systems. _newline  _newline There are 39 colleges/universities. _newline  _newline /1 https://t.co/YF1QmQXSwg
amethystarlight	*Total Positives* _newline 6822 students _newline 3661 staff  _newline 3131 student/staff combo  _newline 7536 college students  _newline 887 college staff _newline 2384 college students/staff combo _newline  _newline *Total Deaths* _newline 12 school staff _newline  _newline https://t.co/iESSjwe8A5 _newline  _newline /3
KenMcCarthy	"Happy New Years suckers! China: 4,000 ""CoVid deaths"" total, the whole country, 2020 (look it up) And you let people you know to be corrupt liars (politicians, news media, veteran medical fraudsters) literally gut your community. https://t.co/IgJmEbHI2a"
